"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),행정구역(읍면동)별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),행정구역(읍면동)별(3),합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,외국인주민자녀(출생)
"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),행정구역(읍면동)별(3),소계,소계,외국인근로자,결혼이민자,유학생,외국국적동포,기타외국인,소계,소계
"서울특별시",구로구,오류1동,1429,1055,167,116,35,441,296,261,113
"서울특별시",구로구,수궁동,812,521,71,75,*,202,169,186,105
"서울특별시",구로구,가리봉동,7833,7177,2166,265,27,3135,1584,574,82
"서울특별시",구로구,구로2동,15249,13172,2565,558,67,5589,4393,1772,305
"서울특별시",구로구,개봉1동,1949,1408,189,151,58,625,385,353,188
"서울특별시",구로구,오류2동,1707,993,115,150,5,444,279,455,259
"서울특별시",구로구,항동,430,164,7,68,17,24,48,130,136
"서울특별시",영등포구,여의동,718,604,46,78,5,248,227,22,92
"서울특별시",영등포구,당산1동,791,632,98,74,13,252,195,103,56
"서울특별시",영등포구,당산2동,832,663,82,76,84,213,208,94,75
"서울특별시",영등포구,양평1동,527,429,85,51,21,107,165,45,53
"서울특별시",영등포구,양평2동,401,297,60,61,17,73,86,40,64
"서울특별시",영등포구,신길1동,2976,2479,496,139,26,1078,740,397,100
"서울특별시",영등포구,신길3동,2272,1852,330,100,11,854,557,299,121
"서울특별시",영등포구,신길4동,1665,1390,289,72,12,655,362,220,55
"서울특별시",영등포구,신길5동,2247,1884,394,108,8,871,503,272,91
"서울특별시",영등포구,신길6동,1894,1563,278,97,24,779,385,254,77
"서울특별시",영등포구,신길7동,452,320,56,43,*,118,101,79,53
"서울특별시",영등포구,대림1동,5360,4556,952,220,24,2071,1289,654,150
"서울특별시",영등포구,대림2동,12926,11408,2588,401,56,5237,3126,1338,180
"서울특별시",영등포구,대림3동,7614,6482,1386,311,46,3016,1723,909,223
"서울특별시",영등포구,영등포본동,4184,3603,714,208,25,1749,907,468,113
"서울특별시",영등포구,영등포동,1139,937,187,99,110,261,280,129,73
"서울특별시",영등포구,도림동,4532,3936,767,166,47,1874,1082,485,111
"서울특별시",영등포구,문래동,469,307,21,77,8,72,129,66,96
"서울특별시",관악구,보라매동,1018,788,143,67,25,346,207,147,83
"서울특별시",관악구,청림동,246,169,17,38,19,38,57,29,48
"서울특별시",관악구,행운동,935,781,103,71,120,271,216,98,56
"서울특별시",관악구,낙성대동,2051,1952,252,55,829,203,613,57,42
"서울특별시",관악구,중앙동,752,629,127,34,81,236,151,82,41
"서울특별시",관악구,인헌동,610,478,60,63,62,143,150,62,70
"서울특별시",관악구,남현동,434,341,59,50,31,117,84,57,36
"서울특별시",관악구,서원동,1253,1036,147,97,132,345,315,144,73
"서울특별시",관악구,신원동,1890,1583,260,85,78,759,401,241,66
"서울특별시",관악구,서림동,1054,879,77,52,376,149,225,91,84
"서울특별시",관악구,신사동,4872,4087,735,207,76,1853,1216,643,142
"서울특별시",관악구,신림동,1242,1108,236,51,151,384,286,105,29
"서울특별시",관악구,난향동,335,192,12,43,*,74,62,62,81
"서울특별시",관악구,조원동,3058,2586,544,128,55,1189,670,386,86
"서울특별시",관악구,대학동,1177,1097,104,37,530,113,313,43,37
"서울특별시",관악구,은천동,1069,791,109,79,41,297,265,185,93
"서울특별시",관악구,성현동,525,291,17,80,11,74,109,119,115
"서울특별시",관악구,청룡동,2077,1786,330,103,256,629,468,208,83
"서울특별시",관악구,난곡동,1084,733,92,99,14,279,249,207,144
"서울특별시",관악구,삼성동,431,247,44,41,8,84,70,100,84
"서울특별시",관악구,미성동,1354,960,129,104,21,409,297,277,117
