"동별(1)","항목",2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","항목",계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"서대문구","남자",3770,54,73,88,170,731,598,391,314,231,254,210,242,182,111,63,27,17,10,1,2,1,3669,47,69,86,126,756,588,397,314,244,213,221,208,169,112,54,33,15,13,2,1,1,4052,51,75,90,170,870,684,420,350,267,218,231,202,164,124,67,34,19,12,1,2,1,4332,42,71,82,149,1020,819,445,363,290,220,219,184,158,128,71,34,21,9,4,1,2
"서대문구","여자",6878,56,84,84,302,2337,1540,686,375,292,265,219,248,169,86,51,41,26,13,3,1,-,6497,47,96,89,245,2288,1437,592,377,312,225,202,206,161,89,48,32,30,16,4,1,-,7958,48,90,94,384,3073,1838,645,397,344,214,221,199,165,97,59,41,27,16,4,2,-,9606,38,95,92,438,3832,2395,819,437,368,235,236,194,169,108,62,38,25,18,5,2,0
"마포구","계",9986,157,191,141,276,2202,1946,1233,923,657,538,533,526,319,179,86,40,20,9,6,2,2,9622,149,198,128,244,2089,1921,1258,901,660,486,476,476,276,187,89,34,28,11,6,2,3,10796,131,203,165,327,2763,2227,1361,880,718,455,449,445,278,212,94,37,32,9,5,2,3,11382,151,208,176,369,2761,2528,1466,937,742,491,438,409,301,194,118,44,31,10,4,1,3
"마포구","남자",3888,90,122,72,91,499,560,493,446,328,294,284,274,156,100,43,22,7,5,2,-,-,3742,85,113,72,91,488,544,494,452,338,252,249,251,132,96,49,19,10,4,3,-,-,3910,72,112,82,112,619,600,489,432,362,232,238,233,130,105,55,18,14,3,2,-,-,4047,83,115,93,98,627,673,501,446,380,240,225,230,140,93,64,22,12,4,1,0,0
"마포구","여자",6098,67,69,69,185,1703,1386,740,477,329,244,249,252,163,79,43,18,13,4,4,2,2,5880,64,85,56,153,1601,1377,764,449,322,234,227,225,144,91,40,15,18,7,3,2,3,6886,59,91,83,215,2144,1627,872,448,356,223,211,212,148,107,39,19,18,6,3,2,3,7335,68,93,83,271,2134,1855,965,491,362,251,213,179,161,101,54,22,19,6,3,1,3
"양천구","계",3808,95,85,71,45,222,378,484,415,361,365,468,471,217,70,36,10,6,4,3,1,1,3245,54,79,71,44,152,314,393,384,304,303,384,443,172,78,44,10,7,4,3,-,2,3125,43,66,62,52,151,302,367,373,300,285,360,409,189,91,47,12,5,6,3,-,2,3190,46,68,61,64,135,313,357,429,309,294,340,378,204,108,47,22,3,6,4,0,2
"양천구","남자",1707,46,42,39,25,85,141,199,195,157,172,218,217,105,34,21,4,3,1,2,-,1,1359,24,38,38,27,47,97,150,170,124,126,171,191,77,44,23,4,4,1,2,-,1,1293,24,31,32,28,54,89,135,152,131,118,157,169,86,45,29,5,4,1,2,-,1,1316,25,35,31,30,44,91,123,169,135,126,148,165,98,46,31,11,3,2,2,0,1
"양천구","여자",2101,49,43,32,20,137,237,285,220,204,193,250,254,112,36,15,6,3,3,1,1,-,1886,30,41,33,17,105,217,243,214,180,177,213,252,95,34,21,6,3,3,1,-,1,1832,19,35,30,24,97,213,232,221,169,167,203,240,103,46,18,7,1,5,1,-,1,1874,21,33,30,34,91,222,234,260,174,168,192,213,106,62,16,11,0,4,2,0,1
"강서구","계",5992,208,148,66,58,230,585,883,750,562,498,611,766,365,146,62,29,14,9,2,-,-,5390,172,126,71,48,244,575,782,730,527,425,510,647,295,134,55,30,10,6,3,-,-,5445,158,134,79,69,256,614,788,749,541,387,500,572,344,141,69,21,13,7,2,1,-,5639,128,146,68,98,296,655,814,774,554,433,487,525,364,177,75,24,12,5,3,1,0
"강서구","남자",2796,107,72,32,24,87,190,379,337,270,261,297,386,195,87,41,18,8,4,1,-,-,2395,89,59,35,19,74,186,317,322,239,217,245,318,142,74,29,20,6,2,2,-,-,2388,86,60,40,20,86,199,298,329,247,199,244,280,173,69,34,12,7,3,1,1,-,2470,66,67,35,24,123,206,320,323,250,218,259,254,178,85,36,14,6,3,2,1,0
"강서구","여자",3196,101,76,34,34,143,395,504,413,292,237,314,380,170,59,21,11,6,5,1,-,-,2995,83,67,36,29,170,389,465,408,288,208,265,329,153,60,26,10,4,4,1,-,-,3057,72,74,39,49,170,415,490,420,294,188,256,292,171,72,35,9,6,4,1,-,-,3169,62,79,33,74,173,449,494,451,304,215,228,271,186,92,39,10,6,2,1,0,0
"구로구","계",30172,1074,856,487,283,775,1458,2910,2695,2458,3242,4465,5801,2645,702,193,54,46,17,7,4,-,24855,800,859,501,284,659,1125,2254,2461,2010,2337,3509,4944,1926,820,229,62,36,25,10,4,-,23389,666,785,423,296,601,1027,1903,2412,2086,2013,3230,4349,2174,993,271,71,44,25,15,5,-,22886,636,795,450,339,629,922,1624,2366,2132,1997,3095,3765,2509,1118,335,82,41,27,16,7,1
"구로구","남자",17112,543,426,240,162,389,774,1653,1595,1523,2001,2571,3176,1485,390,114,30,24,11,3,2,-,13582,391,444,250,154,309,555,1226,1388,1180,1426,1914,2652,1018,458,142,38,16,15,4,2,-,12654,332,406,218,145,297,457,1018,1345,1193,1180,1791,2312,1146,563,162,42,23,16,6,2,-,12207,323,406,229,172,298,415,841,1293,1181,1107,1674,2012,1333,618,200,54,23,16,9,3,0
"구로구","여자",13060,531,430,247,121,386,684,1257,1100,935,1241,1894,2625,1160,312,79,24,22,6,4,2,-,11273,409,415,251,130,350,570,1028,1073,830,911,1595,2292,908,362,87,24,20,10,6,2,-,10735,334,379,205,151,304,570,885,1067,893,833,1439,2037,1028,430,109,29,21,9,9,3,-,10679,313,389,221,167,331,507,783,1073,951,890,1421,1753,1176,500,135,28,18,11,7,4,1
"금천구","계",17484,711,564,277,140,355,781,1605,1528,1334,2014,2800,3441,1394,370,104,31,15,14,2,3,1,14243,492,530,303,148,310,634,1227,1380,1109,1439,2149,2869,1039,421,122,33,18,11,5,3,1,13368,424,462,281,150,268,595,1089,1332,1138,1189,1982,2530,1219,465,167,32,23,10,7,4,1,13465,385,452,296,159,331,631,1004,1408,1228,1148,1921,2236,1436,539,198,47,25,8,8,4,1
"금천구","남자",9803,376,275,150,73,182,412,890,871,821,1195,1597,1907,759,206,58,16,8,4,1,2,-,7694,260,270,158,74,137,289,616,782,658,833,1145,1581,561,222,72,19,11,3,1,2,-,7095,220,244,140,77,129,259,531,708,661,693,1049,1346,655,246,95,19,14,4,3,2,-,7094,209,237,155,84,159,277,488,732,687,642,1015,1210,751,283,113,30,14,3,3,2,0
"금천구","여자",7681,335,289,127,67,173,369,715,657,513,819,1203,1534,635,164,46,15,7,10,1,1,1,6549,232,260,145,74,173,345,611,598,451,606,1004,1288,478,199,50,14,7,8,4,1,1,6273,204,218,141,73,139,336,558,624,477,496,933,1184,564,219,72,13,9,6,4,2,1,6371,176,215,141,75,172,354,516,676,541,506,906,1026,685,256,85,17,11,5,5,2,1
"영등포구","계",30352,1031,944,558,315,671,1311,2840,2618,2433,3205,4595,6075,2694,700,206,59,51,24,16,6,-,24278,712,854,522,334,573,1082,2047,2272,1972,2232,3506,4978,1955,800,266,76,45,29,13,10,-,22722,579,737,442,313,621,1114,1713,2155,1920,2022,3148,4213,2261,973,328,73,53,30,13,13,1,22704,528,713,441,383,827,1219,1600,2189,1995,1992,3000,3624,2489,1144,359,92,43,34,15,13,4
"영등포구","남자",16824,516,481,295,165,330,703,1671,1565,1510,1892,2526,3159,1433,385,121,31,22,10,7,2,-,12974,343,443,276,174,258,489,1136,1302,1158,1295,1869,2504,1029,457,155,43,23,11,6,3,-,11864,290,382,246,150,229,475,920,1202,1080,1154,1654,2077,1180,544,193,39,27,11,6,5,-,11682,262,375,242,190,310,496,854,1183,1096,1083,1566,1792,1292,634,201,57,24,14,4,5,2
"영등포구","여자",13528,515,463,263,150,341,608,1169,1053,923,1313,2069,2916,1261,315,85,28,29,14,9,4,-,11304,369,411,246,160,315,593,911,970,814,937,1637,2474,926,343,111,33,22,18,7,7,-,10858,289,355,196,163,392,639,793,953,840,868,1494,2136,1081,429,135,34,26,19,7,8,1,11022,266,338,199,193,517,723,746,1006,899,909,1434,1832,1197,510,158,35,19,20,11,8,2
"동작구","계",11063,210,165,102,238,2550,1467,1013,725,577,693,1007,1376,673,168,46,22,18,7,3,-,3,9005,151,154,101,188,1932,1355,849,670,501,451,743,1082,532,182,58,26,12,11,4,-,3,8991,124,139,99,237,1987,1516,825,712,489,414,661,899,525,235,77,21,10,14,4,-,3,10586,116,136,96,478,2792,1966,913,754,555,423,615,768,585,247,86,22,13,14,3,1,3
"동작구","남자",4951,110,86,50,74,862,554,515,400,330,372,475,674,314,83,24,13,9,2,2,-,2,3854,73,83,50,62,610,493,418,364,271,235,314,492,242,90,27,15,6,5,2,-,2,3817,65,81,43,80,611,536,407,388,267,203,310,393,253,110,43,11,6,6,2,-,2,4342,54,77,43,158,880,666,420,424,296,222,299,325,278,123,47,11,9,6,1,1,2
"동작구","여자",6112,100,79,52,164,1688,913,498,325,247,321,532,702,359,85,22,9,9,5,1,-,1,5151,78,71,51,126,1322,862,431,306,230,216,429,590,290,92,31,11,6,6,2,-,1,5174,59,58,56,157,1376,980,418,324,222,211,351,506,272,125,34,10,4,8,2,-,1,6244,62,59,53,320,1912,1300,493,330,259,201,316,443,307,124,39,11,4,8,2,0,1
"관악구","계",15981,430,353,216,289,1259,1988,1911,1351,1055,1280,1854,2403,1120,304,96,28,21,15,7,1,-,13543,285,326,193,269,1254,1917,1572,1245,883,924,1392,1919,853,326,106,33,22,15,7,2,-,13963,276,278,155,274,1898,2283,1668,1206,864,768,1207,1587,894,389,133,38,18,16,8,3,-,15410,247,268,156,410,2449,2871,1810,1291,958,792,1128,1378,983,424,153,42,20,17,8,5,0
"관악구","남자",7554,224,170,118,114,417,717,930,758,575,661,910,1163,560,155,50,14,11,5,2,-,-,6057,150,168,103,91,409,671,714,657,448,460,652,889,394,158,57,14,13,7,2,-,-,5887,144,141,87,92,576,711,685,624,449,373,556,725,421,190,74,18,9,9,3,-,-,6190,139,136,79,145,734,788,704,629,511,381,519,630,464,203,82,22,11,9,3,1,0
"관악구","여자",8427,206,183,98,175,842,1271,981,593,480,619,944,1240,560,149,46,14,10,10,5,1,-,7486,135,158,90,178,845,1246,858,588,435,464,740,1030,459,168,49,19,9,8,5,2,-,8076,132,137,68,182,1322,1572,983,582,415,395,651,862,473,199,59,20,9,7,5,3,-,9220,108,132,77,265,1715,2083,1106,662,447,411,609,748,519,221,71,20,9,8,5,4,0
"서초구","계",3986,111,185,142,89,205,480,565,553,465,374,301,275,140,51,22,12,9,3,3,-,1,3760,94,174,141,95,206,473,533,501,436,367,300,219,116,57,20,9,10,4,4,-,1,3949,105,170,157,110,248,501,537,513,459,385,325,209,113,63,22,15,8,5,1,2,1,4362,107,189,188,123,253,586,568,560,550,436,330,228,122,64,27,13,6,7,1,3,1
"서초구","남자",1985,49,96,74,46,74,214,280,316,241,197,144,138,64,25,14,5,4,2,2,-,-,1852,48,82,76,49,90,169,262,274,226,206,147,110,59,28,14,3,4,2,3,-,-,1915,64,88,84,57,77,173,248,282,223,221,168,107,61,34,12,9,3,2,1,1,-,2087,55,105,94,68,84,194,252,291,283,230,179,122,67,36,11,8,2,4,1,1,0
"서초구","여자",2001,62,89,68,43,131,266,285,237,224,177,157,137,76,26,8,7,5,1,1,-,1,1908,46,92,65,46,116,304,271,227,210,161,153,109,57,29,6,6,6,2,1,-,1,2034,41,82,73,53,171,328,289,231,236,164,157,102,52,29,10,6,5,3,-,1,1,2275,52,84,94,55,169,392,316,269,267,206,151,106,55,28,16,5,4,3,0,2,1
"강남구","계",4850,63,65,50,89,444,949,897,647,446,349,293,267,152,75,34,16,9,2,2,-,1,4716,56,66,63,113,416,910,891,631,450,348,272,234,116,84,30,21,9,3,2,-,1,4885,52,71,53,127,541,969,844,643,451,320,288,245,129,84,34,19,7,5,2,-,1,5334,51,69,60,141,608,1061,897,716,500,364,304,255,136,87,44,21,7,8,3,1,1
"강남구","남자",2397,30,36,24,44,132,397,456,365,271,196,163,141,74,36,17,6,6,1,2,-,-,2260,25,38,35,50,116,355,425,358,274,190,147,118,56,39,15,10,5,2,2,-,-,2250,25,40,32,63,152,340,390,354,266,179,149,122,62,39,19,9,4,3,2,-,-,2452,25,39,26,58,199,334,382,427,291,223,159,132,69,41,20,14,5,5,2,1,0
"강남구","여자",2453,33,29,26,45,312,552,441,282,175,153,130,126,78,39,17,10,3,1,-,-,1,2456,31,28,28,63,300,555,466,273,176,158,125,116,60,45,15,11,4,1,-,-,1,2635,27,31,21,64,389,629,454,289,185,141,139,123,67,45,15,10,3,2,-,-,1,2882,26,30,34,83,409,727,515,289,209,141,145,123,67,46,24,7,2,3,1,0,1
"송파구","계",6342,170,182,106,66,306,639,888,763,524,612,704,829,371,109,38,19,11,3,2,-,-,5611,123,142,94,62,264,607,793,738,503,482,622,707,293,95,48,18,12,4,3,1,-,5636,116,143,86,76,283,664,743,757,538,435,609,637,326,135,53,15,13,5,1,1,-,5771,104,141,84,87,317,653,794,790,574,452,541,620,362,162,51,23,8,5,2,1,0
"송파구","남자",2956,93,88,47,31,103,245,394,383,274,313,325,393,186,47,17,9,7,1,-,-,-,2564,66,74,41,32,92,220,347,367,265,233,283,319,138,42,26,9,7,2,-,1,-,2552,63,78,41,39,101,205,311,375,279,220,292,279,160,61,29,9,8,1,-,1,-,2568,60,68,44,46,105,202,315,394,286,221,267,268,163,80,27,13,5,3,0,1,0
"송파구","여자",3386,77,94,59,35,203,394,494,380,250,299,379,436,185,62,21,10,4,2,2,-,-,3047,57,68,53,30,172,387,446,371,238,249,339,388,155,53,22,9,5,2,3,-,-,3084,53,65,45,37,182,459,432,382,259,215,317,358,166,74,24,6,5,4,1,-,-,3203,44,73,40,41,212,451,479,396,288,231,274,352,199,82,24,10,3,2,2,0,0
"강동구","계",4217,115,101,62,66,212,416,519,452,379,411,498,594,269,73,31,11,5,1,1,-,1,3834,87,95,62,57,212,450,502,460,347,325,408,496,201,83,29,13,4,1,1,-,1,3873,80,99,77,54,217,476,507,473,354,310,398,440,240,88,40,13,3,2,1,-,1,4068,72,96,91,79,227,541,540,468,383,300,423,399,275,106,44,17,2,2,2,0,1
"강동구","남자",1950,54,50,35,25,97,176,252,197,186,183,235,262,140,35,14,7,2,-,-,-,-,1715,45,44,32,25,91,188,227,201,179,134,180,217,87,38,15,10,2,-,-,-,-,1719,42,47,36,28,89,199,215,231,162,128,182,180,103,43,23,8,2,1,-,-,-,1812,42,49,42,45,108,215,228,225,179,129,189,152,118,54,25,10,1,0,1,0,0
"강동구","여자",2267,61,51,27,41,115,240,267,255,193,228,263,332,129,38,17,4,3,1,1,-,1,2119,42,51,30,32,121,262,275,259,168,191,228,279,114,45,14,3,2,1,1,-,1,2154,38,52,41,26,128,277,292,242,192,182,216,260,137,45,17,5,1,1,1,-,1,2256,30,47,49,34,119,326,312,243,204,171,234,247,157,52,19,7,1,2,1,0,1
