"동별(1)","항목",2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","항목",계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"용산구","남자",8470,296,399,309,230,494,852,1163,1178,987,798,685,499,291,138,88,37,19,3,2,1,1,7854,284,411,326,225,331,719,978,1142,930,763,700,480,267,136,86,47,20,5,2,1,1,7860,250,402,358,257,343,669,931,1089,984,749,724,488,287,152,98,47,21,9,1,1,-,7842,242,384,373,262,340,690,925,1104,974,781,667,487,292,154,88,45,24,9,0,1,0
"용산구","여자",6697,285,402,283,211,469,779,824,834,717,592,443,435,241,105,41,17,8,5,2,3,1,6301,248,390,301,219,413,672,779,809,706,527,437,364,229,115,53,21,8,4,2,3,1,6599,231,392,365,234,540,695,789,763,743,536,469,356,243,128,63,27,14,4,2,4,1,6698,252,362,335,282,624,725,798,765,725,555,435,344,252,126,59,32,15,4,3,1,4
"성동구","계",7104,144,125,66,279,1649,1072,711,555,436,435,556,606,297,102,38,12,8,6,2,2,3,6320,119,113,65,119,1502,1117,660,505,397,375,447,501,223,105,37,18,5,5,2,2,3,6691,107,108,77,162,1695,1304,687,525,406,310,434,434,248,113,45,18,5,5,3,-,5,7177,117,96,69,325,1860,1487,718,519,396,310,386,443,244,115,59,15,7,4,2,0,5
"성동구","남자",3138,74,63,30,96,596,445,350,295,223,210,275,253,135,54,26,7,2,2,-,-,2,2765,62,54,28,42,554,447,321,255,207,171,213,215,97,53,27,13,2,2,-,-,2,2872,51,52,36,64,594,498,347,260,216,146,210,179,112,56,32,13,2,2,-,-,2,2966,47,49,36,111,625,530,338,278,209,151,176,200,102,58,38,10,4,2,0,0,2
"성동구","여자",3966,70,62,36,183,1053,627,361,260,213,225,281,353,162,48,12,5,6,4,2,2,1,3555,57,59,37,77,948,670,339,250,190,204,234,286,126,52,10,5,3,3,2,2,1,3819,56,56,41,98,1101,806,340,265,190,164,224,255,136,57,13,5,3,3,3,-,3,4211,70,47,33,214,1235,957,380,241,187,159,210,243,142,57,21,5,3,2,2,0,3
"광진구","계",13859,356,325,188,431,2979,1868,1371,1018,725,836,1241,1563,704,166,47,17,14,7,1,1,1,12268,312,308,201,252,2756,2004,1183,930,661,625,926,1289,541,181,57,17,12,10,1,1,1,12816,270,302,202,393,3110,2291,1227,920,667,585,845,1087,579,219,79,12,15,9,2,-,2,15355,286,326,236,753,4219,2979,1453,1026,724,583,755,992,654,232,96,14,12,10,3,0,2
"광진구","남자",5982,183,164,99,142,1000,733,665,507,361,388,560,714,342,79,24,12,4,3,1,-,1,5186,163,149,100,93,925,768,563,467,329,283,407,557,243,89,30,9,4,5,1,-,1,5323,146,137,105,133,1021,891,555,466,317,282,370,470,261,109,40,6,7,5,1,-,1,6167,148,141,117,264,1401,1091,652,499,342,276,328,414,301,128,43,9,6,4,2,0,1
"광진구","여자",7877,173,161,89,289,1979,1135,706,511,364,448,681,849,362,87,23,5,10,4,-,1,-,7082,149,159,101,159,1831,1236,620,463,332,342,519,732,298,92,27,8,8,5,-,1,-,7493,124,165,97,260,2089,1400,672,454,350,303,475,617,318,110,39,6,8,4,1,-,1,9188,138,185,119,489,2818,1888,801,527,382,307,427,578,353,104,53,5,6,6,1,0,1
"동대문구","계",14263,200,163,100,404,5739,2853,1275,706,534,501,587,671,337,107,43,12,17,10,4,-,-,13780,151,168,93,375,5403,3152,1248,722,497,405,483,622,256,118,43,13,15,12,3,1,-,16075,158,154,87,523,6529,4072,1323,774,516,408,506,520,283,129,45,19,12,12,4,1,-,17875,190,140,96,669,6861,5045,1503,862,556,415,478,501,316,133,56,22,12,14,4,2,0
"동대문구","남자",5685,99,80,51,126,2041,1106,544,329,265,251,246,311,147,44,25,5,5,7,3,-,-,5380,70,73,51,105,1902,1213,545,315,245,191,196,273,112,44,25,4,4,9,2,1,-,5819,68,71,46,132,1947,1542,587,331,242,174,226,233,122,52,24,8,3,7,3,1,-,6468,87,67,49,167,2019,1893,668,376,254,197,218,219,145,58,24,12,5,5,3,2,0
