동별,연령별,시점,남자,여자
사직동,80~84세,2020. 3/4,1,1
사직동,80~84세,2022. 3/4,1,1
사직동,80~84세,2023. 3/4,2,0
사직동,85~89세,2020. 3/4,1,0
사직동,85~89세,2022. 3/4,1,0
사직동,85~89세,2023. 3/4,0,1
사직동,90~94세,2020. 3/4,0,0
사직동,90~94세,2022. 3/4,0,0
사직동,90~94세,2023. 3/4,1,0
사직동,95~99세,2020. 3/4,0,0
사직동,95~99세,2022. 3/4,0,0
사직동,95~99세,2023. 3/4,0,0
사직동,100세 이상,2020. 3/4,0,0
사직동,100세 이상,2022. 3/4,0,0
사직동,100세 이상,2023. 3/4,0,0
삼청동,0~4세,2020. 3/4,7,5
삼청동,0~4세,2022. 3/4,5,4
삼청동,0~4세,2023. 3/4,3,3
삼청동,5~9세,2020. 3/4,8,14
삼청동,5~9세,2022. 3/4,12,9
삼청동,5~9세,2023. 3/4,9,7
삼청동,10~14세,2020. 3/4,6,12
삼청동,10~14세,2022. 3/4,10,22
삼청동,10~14세,2023. 3/4,9,14
삼청동,15~19세,2020. 3/4,8,6
삼청동,15~19세,2022. 3/4,8,12
삼청동,15~19세,2023. 3/4,5,11
삼청동,20~24세,2020. 3/4,3,1
삼청동,20~24세,2022. 3/4,4,4
삼청동,20~24세,2023. 3/4,2,2
삼청동,25~29세,2020. 3/4,0,3
삼청동,25~29세,2022. 3/4,3,6
삼청동,25~29세,2023. 3/4,2,4
삼청동,30~34세,2020. 3/4,8,14
삼청동,30~34세,2022. 3/4,7,5
삼청동,30~34세,2023. 3/4,7,5
삼청동,35~39세,2020. 3/4,16,18
삼청동,35~39세,2022. 3/4,14,22
삼청동,35~39세,2023. 3/4,12,9
삼청동,40~44세,2020. 3/4,24,16
삼청동,40~44세,2022. 3/4,28,20
삼청동,40~44세,2023. 3/4,25,23
삼청동,45~49세,2020. 3/4,11,10
삼청동,45~49세,2022. 3/4,19,18
삼청동,45~49세,2023. 3/4,19,16
삼청동,50~54세,2020. 3/4,8,5
삼청동,50~54세,2022. 3/4,8,3
삼청동,50~54세,2023. 3/4,5,2
삼청동,55~59세,2020. 3/4,6,11
삼청동,55~59세,2022. 3/4,6,10
삼청동,55~59세,2023. 3/4,4,7
삼청동,60~64세,2020. 3/4,12,16
삼청동,60~64세,2022. 3/4,7,15
삼청동,60~64세,2023. 3/4,3,6
삼청동,65~69세,2020. 3/4,6,5
삼청동,65~69세,2022. 3/4,9,5
삼청동,65~69세,2023. 3/4,8,8
삼청동,70~74세,2020. 3/4,7,1
삼청동,70~74세,2022. 3/4,7,4
삼청동,70~74세,2023. 3/4,5,4
삼청동,75~79세,2020. 3/4,1,0
삼청동,75~79세,2022. 3/4,2,0
삼청동,75~79세,2023. 3/4,2,0
삼청동,80~84세,2020. 3/4,1,1
삼청동,80~84세,2022. 3/4,0,1
삼청동,80~84세,2023. 3/4,0,0
삼청동,85~89세,2020. 3/4,0,0
삼청동,85~89세,2022. 3/4,1,0
삼청동,85~89세,2023. 3/4,1,1
삼청동,90~94세,2020. 3/4,0,0
삼청동,90~94세,2022. 3/4,0,0
삼청동,90~94세,2023. 3/4,0,0
삼청동,95~99세,2020. 3/4,0,0
삼청동,95~99세,2022. 3/4,0,0
삼청동,95~99세,2023. 3/4,0,0
삼청동,100세 이상,2020. 3/4,0,0
삼청동,100세 이상,2022. 3/4,0,0
삼청동,100세 이상,2023. 3/4,0,0
부암동,0~4세,2020. 3/4,1,0
부암동,0~4세,2022. 3/4,0,0
부암동,0~4세,2023. 3/4,0,0
부암동,5~9세,2020. 3/4,0,0
부암동,5~9세,2022. 3/4,0,0
부암동,5~9세,2023. 3/4,0,0
부암동,10~14세,2020. 3/4,0,1
부암동,10~14세,2022. 3/4,0,0
부암동,10~14세,2023. 3/4,0,0
부암동,15~19세,2020. 3/4,1,3
부암동,15~19세,2022. 3/4,1,4
부암동,15~19세,2023. 3/4,1,2
부암동,20~24세,2020. 3/4,32,36
부암동,20~24세,2022. 3/4,15,45
부암동,20~24세,2023. 3/4,15,44
부암동,25~29세,2020. 3/4,28,32
부암동,25~29세,2022. 3/4,42,21
부암동,25~29세,2023. 3/4,44,37
부암동,30~34세,2020. 3/4,50,44
부암동,30~34세,2022. 3/4,30,26
부암동,30~34세,2023. 3/4,33,27
부암동,35~39세,2020. 3/4,24,25
부암동,35~39세,2022. 3/4,29,10
부암동,35~39세,2023. 3/4,31,10
부암동,40~44세,2020. 3/4,18,8
부암동,40~44세,2022. 3/4,12,12
부암동,40~44세,2023. 3/4,13,15
부암동,45~49세,2020. 3/4,1,4
부암동,45~49세,2022. 3/4,3,3
부암동,45~49세,2023. 3/4,4,5
부암동,50~54세,2020. 3/4,8,4
부암동,50~54세,2022. 3/4,5,2
부암동,50~54세,2023. 3/4,5,3
부암동,55~59세,2020. 3/4,4,4
부암동,55~59세,2022. 3/4,5,3
부암동,55~59세,2023. 3/4,4,4
부암동,60~64세,2020. 3/4,3,0
부암동,60~64세,2022. 3/4,3,0
부암동,60~64세,2023. 3/4,3,1
부암동,65~69세,2020. 3/4,2,1
부암동,65~69세,2022. 3/4,2,1
부암동,65~69세,2023. 3/4,4,0
부암동,70~74세,2020. 3/4,2,2
부암동,70~74세,2022. 3/4,1,1
부암동,70~74세,2023. 3/4,0,1
부암동,75~79세,2020. 3/4,0,0
